书名,别名,链接,信息,评分,评分人数,描述
红楼梦,红楼梦,https://book.douban.com/subject/1007305/,[清] 曹雪芹 著 / 人民文学出版社 / 1996-12 / 59.70元,9.6,365313,都云作者痴，谁解其中味？
活着,活着,https://book.douban.com/subject/4913064/,余华 / 作家出版社 / 2012-8-1 / 20.00元,9.4,677963,生的苦难与伟大
百年孤独,Cien años de soledad,https://book.douban.com/subject/6082808/,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,9.3,369280,魔幻现实主义文学代表作
飘,Gone with the Wind,https://book.douban.com/subject/1068920/,[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元,9.3,190969,革命时期的爱情，随风而逝
1984,Nineteen Eighty-Four,https://book.douban.com/subject/4820710/,[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00,9.4,208052,栗树荫下，我出卖你，你出卖我
三体全集:地球往事三部曲, : 地球往事三部曲 ,https://book.douban.com/subject/6518605/,刘慈欣 / 重庆出版社 / 2012-1-1 / 168.00元,9.4,128231,地球往事三部曲
白夜行,白夜行,https://book.douban.com/subject/3259440/,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2008-9 / 29.80元,9.1,494298,暗夜独行的残破灵魂，爱与恶本就难分难舍
三国演义（全二册）,三国演义（全二册）,https://book.douban.com/subject/1019568/,[明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元,9.3,147841,是非成败转头空
小王子,Le Petit Prince,https://book.douban.com/subject/1084336/,[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元,9.0,681701,献给长成了大人的孩子们
福尔摩斯探案全集（上中下）,福尔摩斯探案全集（上中下）,https://book.douban.com/subject/1040211/,[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元,9.3,116354,名侦探的代名词
动物农场,Animal Farm,https://book.douban.com/subject/2035179/,[英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元,9.3,129013,太阳底下并无新事
房思琪的初恋乐园,房思琪的初恋乐园,https://book.douban.com/subject/27614904/,林奕含 / 北京联合出版公司 / 2018-2 / 45.00元,9.2,299701,向死而生的文学绝唱
撒哈拉的故事,撒哈拉的故事,https://book.douban.com/subject/1060068/,三毛 / 哈尔滨出版社 / 2003-8 / 15.80元,9.2,135339,游荡的自由灵魂
天龙八部,天龙八部,https://book.douban.com/subject/1255625/,金庸 / 生活·读书·新知三联书店 / 1994-5 / 96.00元,9.1,120084,有情皆孽，无人不冤
平凡的世界（全三部）,平凡的世界（全三部）,https://book.douban.com/subject/1200840/,路遥 / 人民文学出版社 / 2005-1 / 64.00元,9.0,294295,中国当代城乡生活全景
安徒生童话故事集,安徒生童话故事集,https://book.douban.com/subject/1046209/,（丹麦）安徒生 / 叶君健 / 人民文学出版社 / 1997-08 / 25.00元,9.2,112997,为了争取未来的一代
围城,围城,https://book.douban.com/subject/1008145/,钱锺书 / 人民文学出版社 / 1991-2 / 19.00,8.9,418555,幽默的语言和对生活深刻的观察
追风筝的人,The Kite Runner,https://book.douban.com/subject/1770782/,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元,8.9,736011,为你，千千万万遍
霍乱时期的爱情,El amor en los tiempos del cólera,https://book.douban.com/subject/10594787/,[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元,9.0,240378,义无反顾地直达爱情的核心
局外人,L'Etranger,https://book.douban.com/subject/4908885/,[法] 阿尔贝·加缪 / 柳鸣九 / 上海译文出版社 / 2010-8 / 22.00元,9.0,191643,人生在世，永远也不该演戏作假
明朝那些事儿（1-9）:限量版, : 限量版 ,https://book.douban.com/subject/3674537/,当年明月 / 中国海关出版社 / 2009-4 / 358.20元,9.1,134817,不拘一格的历史书写
沉默的大多数:王小波杂文随笔全编, : 王小波杂文随笔全编 ,https://book.douban.com/subject/1054685/,王小波 / 中国青年出版社 / 1997-10 / 27.00元,9.1,131046,沉默是沉默者的通行证
月亮和六便士,The Moon and Sixpence,https://book.douban.com/subject/1858513/,[英] 毛姆 / 傅惟慈 / 上海译文出版社 / 2006-8 / 15.00元,9.0,181124,有多少人会经历顿悟，就有更少的人甘愿自我放逐
哈利·波特,Harry Potter,https://book.douban.com/subject/24531956/,J.K.罗琳 (J.K.Rowling) / 苏农 / 人民文学出版社 / 2008-12-1 / 498.00元,9.7,67385,从9¾站台开始的旅程
人类简史:从动物到上帝, : 从动物到上帝 ,https://book.douban.com/subject/25985021/,[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11 / 68.00元,9.1,171203,跟着人类一同走过十万年
基督山伯爵,Le Comte de Monte-Cristo,https://book.douban.com/subject/1085860/,大仲马 / 周克希 / 上海译文出版社 / 1991-12-1 / 43.90元,9.0,118653,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景
嫌疑人X的献身,容疑者Xの献身,https://book.douban.com/subject/3211779/,[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00,8.9,479220,数学好是一种极致的浪漫
肖申克的救赎,Different Seasons,https://book.douban.com/subject/1829226/,[美] 斯蒂芬·金 / 施寄青 / 人民文学出版社 / 2006-7 / 29.90元,9.1,106923,豆瓣电影Top1原著
笑傲江湖（全四册）,笑傲江湖（全四册）,https://book.douban.com/subject/1002299/,金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,9.0,101503,欲练此功，必先自宫
万历十五年,万历十五年,https://book.douban.com/subject/1041482/,[美] 黄仁宇 / 生活·读书·新知三联书店 / 1997-5 / 18.00元,8.9,175893,见微知著，历史观的颠覆
冰与火之歌（卷一）:权力的游戏, : 权力的游戏 ,https://book.douban.com/subject/1336330/,[美] 乔治·R. R. 马丁 / 谭光磊 / 重庆出版社 / 2005-5 / 68.00元,9.3,37985,凛冬将至。无比宏大的世界观
呐喊,呐喊,https://book.douban.com/subject/1449351/,鲁迅 / 人民文学出版社 / 1973-3 / 0.36元,9.0,131616,新文学的第一声呐喊
东方快车谋杀案,Murder on the Orient Express,https://book.douban.com/subject/1827374/,[英] 阿加莎·克里斯蒂 / 陈尧光 / 人民文学出版社 / 2006-5 / 18.00元,9.0,121697,谋杀诡计惊人，波洛的抉择耐人寻味
杀死一只知更鸟,To Kill a Mocking Bird,https://book.douban.com/subject/6781808/,[美] 哈珀·李 / 高红梅 / 译林出版社 / 2012-9 / 32.00元,9.2,116970,有一种东西不能遵循从众原则，那就是——人的良心
中国历代政治得失,中国历代政治得失,https://book.douban.com/subject/1003479/,钱穆 / 生活·读书·新知三联书店 / 2001 / 12.00元,9.2,57692,一部简明的“中国政治制度史”
傲慢与偏见,Pride and Prejudice,https://book.douban.com/subject/1083428/,[英] 奥斯丁 / 张玲 / 人民文学出版社 / 1993-7 / 13.00元,8.9,214991,所有现代言情小说的母体
江城,River Town,https://book.douban.com/subject/7060185/,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2012-1 / 36.00元,9.1,50674,外国人眼中的涪陵
寻路中国:从乡村到工厂的自驾之旅, : 从乡村到工厂的自驾之旅 ,https://book.douban.com/subject/5414391/,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2011-1 / 33.00元,9.0,49691,《纽约客》驻北京记者驾车漫游中国大陆的经历
射雕英雄传,射雕英雄传,https://book.douban.com/subject/1044547/,金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00元,9.0,76099,侠之大者，为国为民
